id,screen_name,name,date_created,botornot_rt,bot
885076216184803328,ValGamble5,Val Gamble,2018-12-17 12:29:34.404666
1074744576907325445,nate58491410,nate,2018-12-17 12:29:34.404730
1074743168430678017,Newsha63753256,Newsha,2018-12-17 12:29:34.404763
1073660544907993089,MartialBret,Martial Bret,2018-12-17 12:29:34.404795
1074744872433799169,Eyll17543129,Eylül,2018-12-17 12:29:34.404827
1074747586626682881,almg_h,h.almg,2018-12-17 12:29:34.404860
1073914793499611137,AdamantBlazeRoy,Michael Roytenberg,2018-12-17 12:29:34.404891
1074747956446879746,heather82851620,heather costello,2018-12-17 12:29:34.404923
917095392814227456,Mooshymie_,D'ontSplat,2018-12-17 12:29:34.404955
1074743262068391938,dudiaohan0,独钓寒江雪,2018-12-17 12:29:34.404987
1074747651042799617,uweragabrial,Uweragabrial,2018-12-17 12:29:34.405019
1074747876310482945,YetundeRoselin3,Yetunde Roseline,2018-12-17 12:29:34.405051
1074748073107120128,s4s7VRdoR1dGpKV,ส่งต่อบัตรขอคนรับราคาได้,2018-12-17 12:29:34.405084
3226775802,FenWang2,Fen Wang,2018-12-17 12:29:34.405118
1074747891191869441,XIByxltaBwM7LkH,05537791868,2018-12-17 12:29:34.405149
909113568221646850,DlohxpwFLkYueAV,محمد احمد,2018-12-17 12:29:34.405181
949011816620814336,karna0133,Karna0133@gmail.com,2018-12-17 12:29:34.405214
1018297553727737856,MariusWisser,MariusWisser,2018-12-17 12:29:34.405246
1074746186375008263,LoverDeplorable,Deplorable Trump Lover,2018-12-17 12:29:34.405278
1074429851225022464,Christi95074947,Christine Grace,2018-12-17 12:29:34.405311
1074654540962631680,JanKiefer12,Jan Kiefer,2018-12-17 12:29:34.405343
1074305130323795969,changparagamac,Changparagamac,2018-12-17 12:29:34.405375
994175239,abilateefah,ABIOLA ADAMSON,2018-12-17 12:29:34.405407
1284323935,CaitlynAllen3,cait,2018-12-17 12:29:34.405439
1074017477561061383,montazer_zoohur,علی,2018-12-17 12:29:34.405478
1074747433333219328,procarbufi,procarbufi,2018-12-17 12:29:34.405512
1074747577340444672,OmarMElkordy1,Omar.M.Elkordy,2018-12-17 12:29:34.405544
1058430661562957824,Gislain02904136,Gislaine,2018-12-17 12:29:34.405575
1074747526681632768,cba92962579,cba,2018-12-17 12:29:34.405607
1074747284246663168,BaranErenali,Erenali Baran,2018-12-17 12:29:34.405637
755607724780556288,Br0no__Rgb,MحmD RجB ~,2018-12-17 12:29:34.405669
1074746281652879362,AlquierRemi,Rémi Alquier,2018-12-17 12:29:34.405701
1074333275005640706,Bharatamesar2,Bharatamesar,2018-12-17 12:29:34.405733
887169972396597249,MigsM116,Miguel Martinez,2018-12-17 12:29:34.405765
